label	type	cpu_total	gpu_total	shared	concordant	discordant	cpu_only	gpu_only
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s43	ALL	57461	57514	57349	57337	12	112	165
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s44	SNV	52149	52181	52090	52089	1	59	91
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s44	INDEL	5329	5359	5301	5295	6	28	58
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s44	ALL	57478	57540	57391	57384	7	87	149
ZY_Illumina_NA12878.grch38.gatk4_hc.50x.s42	SNV	53228	53252	53144	53143	1	84	108
ZY_Illumina_NA12878.grch38.gatk4_hc.50x.s42	INDEL	5730	5753	5691	5685	6	39	62
ZY_Illumina_NA12878.grch38.gatk4_hc.50x.s42	ALL	58958	59005	58835	58828	7	123	170
ZY_Illumina_NA12878.grch38.gatk4_hc.50x.s43	SNV	53276	53315	53199	53190	9	77	116
ZY_Illumina_NA12878.grch38.gatk4_hc.50x.s43	INDEL	5741	5792	5708	5701	7	33	84
ZY_Illumina_NA12878.grch38.gatk4_hc.50x.s43	ALL	59017	59107	58907	58891	16	110	200
ZY_Illumina_NA12878.grch38.gatk4_hc.50x.s44	SNV	53213	53274	53143	53137	6	70	131
ZY_Illumina_NA12878.grch38.gatk4_hc.50x.s44	INDEL	5824	5844	5776	5770	6	48	68
ZY_Illumina_NA12878.grch38.gatk4_hc.50x.s44	ALL	59037	59118	58919	58907	12	118	199
ZY_Illumina_NA12878.grch38.gatk4_hc.5x.s42	SNV	39888	39970	39851	39844	7	37	119
ZY_Illumina_NA12878.grch38.gatk4_hc.5x.s42	INDEL	3066	3095	3057	3056	1	9	38
ZY_Illumina_NA12878.grch38.gatk4_hc.5x.s42	ALL	42954	43065	42908	42900	8	46	157
ZY_Illumina_NA12878.grch38.gatk4_hc.5x.s43	SNV	40235	40243	40170	40165	5	65	73
ZY_Illumina_NA12878.grch38.gatk4_hc.5x.s43	INDEL	3134	3142	3117	3115	2	17	25
ZY_Illumina_NA12878.grch38.gatk4_hc.5x.s43	ALL	43369	43385	43287	43280	7	82	98
