run_id,sample,platform,reference,target_depth_x,seed,mean_target_depth_x,median_target_depth_x,used_gb,pct_target_10x,pct_target_20x,pct_target_30x,pct_target_50x,coverage_tool,coverage_tool_version,run_date
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.5x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,5,43,7.87,NA,0.72,0.3047,0.0673,0.0146,0.0008,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.10x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,10,42,15.66,NA,1.43,0.6114,0.2864,0.1300,0.0267,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.10x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,10,43,15.67,NA,1.44,0.6119,0.2865,0.1303,0.0265,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.10x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,10,44,15.66,NA,1.43,0.6108,0.2866,0.1300,0.0266,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.12x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,12,42,18.76,NA,1.72,0.6823,0.3683,0.1899,0.0503,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.12x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,12,43,18.77,NA,1.72,0.6825,0.3688,0.1901,0.0503,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.12x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,12,44,18.76,NA,1.72,0.6818,0.3687,0.1898,0.0502,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.15x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,15,42,23.39,NA,2.14,0.7563,0.4737,0.2789,0.0952,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.15x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,15,43,23.39,NA,2.14,0.7565,0.4742,0.2788,0.0956,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.15x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,15,44,23.38,NA,2.14,0.7558,0.4738,0.2789,0.0955,mosdepth,0.3.3,2026-07-15
