label	category	n	QUAL	DP	GQ	QQ
ZY_BGI_NA12878.grch38.gatk4_hc.15x.s43	gpu_only	27	70.32	5.00	14.00	
ZY_BGI_NA12878.grch38.gatk4_hc.15x.s44	concordant	54061	376.64	22.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.15x.s44	discordant	7	78.32	2.00	6.00	
ZY_BGI_NA12878.grch38.gatk4_hc.15x.s44	cpu_only	44	58.62	19.00	51.00	
ZY_BGI_NA12878.grch38.gatk4_hc.15x.s44	gpu_only	41	43.64	20.00	50.00	
ZY_BGI_NA12878.grch38.gatk4_hc.200x.s42	concordant	61672	4132.64	236.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.200x.s42	discordant	4	714.07	21.00	60.00	
ZY_BGI_NA12878.grch38.gatk4_hc.200x.s42	cpu_only	77	359.64	181.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.200x.s42	gpu_only	66	881.33	62.50	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.200x.s43	concordant	61707	4137.64	236.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.200x.s43	discordant	4	1685.79	77.00	38.00	
ZY_BGI_NA12878.grch38.gatk4_hc.200x.s43	cpu_only	90	200.64	177.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.200x.s43	gpu_only	65	391.05	97.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.200x.s44	concordant	61843	4118.64	235.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.200x.s44	discordant	3	190.96	5.00	20.00	
ZY_BGI_NA12878.grch38.gatk4_hc.200x.s44	cpu_only	73	385.64	193.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.200x.s44	gpu_only	76	610.14	111.50	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.30x.s42	concordant	57857	701.64	40.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.30x.s42	discordant	6	251.01	9.50	26.00	
ZY_BGI_NA12878.grch38.gatk4_hc.30x.s42	cpu_only	52	96.12	31.00	63.00	
ZY_BGI_NA12878.grch38.gatk4_hc.30x.s42	gpu_only	56	56.62	37.00	59.00	
ZY_BGI_NA12878.grch38.gatk4_hc.30x.s43	concordant	57750	706.06	40.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.30x.s43	discordant	3	414.06	13.00	30.00	
ZY_BGI_NA12878.grch38.gatk4_hc.30x.s43	cpu_only	48	105.12	20.00	54.00	
