pair,concordant_n,concordant_DP,concordant_GQ,concordant_QUAL,discordant_n,discordant_DP,discordant_GQ,discordant_QUAL,cpu_only_n,cpu_only_DP,cpu_only_GQ,cpu_only_QUAL,gpu_only_n,gpu_only_DP,gpu_only_GQ,gpu_only_QUAL
ZY_BGI_NA12878.grch38.gatk4_hc.full.s0,62732.0,705.0,99.0,12311.6,9.0,104.0,99.0,2547.02,90.0,319.0,99.0,322.14,108.0,390.0,99.0,404.14
ZY_GeneMind_NA12878.grch38.deepvariant.100x.s42,57148.0,152.0,22.0,24.8,23.0,73.0,14.0,19.6,80.0,119.5,18.5,21.3,85.0,70.0,15.0,18.3
ZY_GeneMind_NA12878.grch38.deepvariant.100x.s43,57154.0,153.0,22.0,24.8,25.0,139.0,15.0,20.1,83.0,101.0,17.0,19.9,98.0,121.5,17.5,19.95
ZY_GeneMind_NA12878.grch38.deepvariant.100x.s44,57171.0,152.0,22.0,24.8,21.0,33.0,14.0,21.1,80.0,92.0,16.0,18.25,77.0,109.0,17.0,19.9
ZY_GeneMind_NA12878.grch38.deepvariant.10x.s42,53094.0,17.0,22.0,24.7,36.0,4.5,15.0,22.25,65.0,11.0,18.0,21.6,98.0,10.5,21.0,24.15
ZY_GeneMind_NA12878.grch38.deepvariant.10x.s43,53186.0,17.0,22.0,24.7,30.0,4.5,16.0,22.05,86.0,11.0,17.0,19.5,127.0,13.0,21.0,24.3
ZY_GeneMind_NA12878.grch38.deepvariant.10x.s44,53051.0,17.0,22.0,24.7,25.0,6.0,18.0,23.1,63.0,9.0,17.0,22.0,105.0,10.0,20.0,23.3
ZY_GeneMind_NA12878.grch38.deepvariant.15x.s42,54961.0,25.0,22.0,24.8,26.0,6.0,15.0,20.65,54.0,11.5,18.0,20.0,77.0,10.0,20.0,24.2
ZY_GeneMind_NA12878.grch38.deepvariant.15x.s43,54938.0,25.0,22.0,24.8,17.0,6.0,16.0,20.5,61.0,20.0,17.0,18.5,75.0,17.0,15.0,20.6
ZY_GeneMind_NA12878.grch38.deepvariant.15x.s44,54911.0,25.0,22.0,24.8,24.0,8.0,17.5,22.15,65.0,10.0,19.0,22.0,86.0,10.5,20.0,22.75
