platform,caller,variant_type,target_depth_x,mean_on_target_depth,F1_mean,F1_std,precision_mean,recall_mean,n_seeds
genemind_surfseq5000,gatk4_hc,INDEL,12,17.95,0.8361606666666667,0.002771540065258524,0.8361329999999999,0.8361936666666666,3
genemind_surfseq5000,gatk4_hc,INDEL,15,22.386666666666667,0.85969,0.002306509917602768,0.8527993333333334,0.8667046666666667,3
genemind_surfseq5000,gatk4_hc,INDEL,150,204.24666666666667,0.9193003333333333,0.0011447341758387506,0.89782,0.9418383333333332,3
genemind_surfseq5000,gatk4_hc,INDEL,20,29.74,0.8745850000000001,0.00034552568645468304,0.8605309999999999,0.8891113333333333,3
genemind_surfseq5000,gatk4_hc,INDEL,200,263.70666666666665,0.9209200000000001,0.0014820975001665559,0.899438,0.9434593333333333,3
genemind_surfseq5000,gatk4_hc,INDEL,25,37.04666666666666,0.8871773333333334,0.003678674534847236,0.869925,0.9051300000000001,3
genemind_surfseq5000,gatk4_hc,INDEL,30,44.300000000000004,0.8955113333333333,0.0014703857770439908,0.8763566666666667,0.9155226666666666,3
genemind_surfseq5000,gatk4_hc,INDEL,300,371.78666666666663,0.9219166666666667,0.0019476576530112683,0.9007296666666668,0.9441266666666666,3
genemind_surfseq5000,gatk4_hc,INDEL,40,58.65333333333333,0.9053383333333334,0.0008986842233695603,0.885747,0.92582,3
genemind_surfseq5000,gatk4_hc,INDEL,400,467.31,0.9212623333333333,0.001885766775964921,0.901131,0.9423153333333333,3
genemind_surfseq5000,gatk4_hc,INDEL,5,7.510000000000001,0.7002303333333334,0.0014232780239058639,0.7660486666666667,0.6448323333333333,3
genemind_surfseq5000,gatk4_hc,INDEL,50,72.81666666666666,0.9096453333333333,0.002693337396861661,0.889974,0.9302060000000001,3
genemind_surfseq5000,gatk4_hc,INDEL,60,86.77,0.911489,0.001461158102328419,0.8902800000000001,0.9337336666666666,3
genemind_surfseq5000,gatk4_hc,INDEL,75,107.36000000000001,0.9166176666666667,0.004027547930606563,0.8947893333333333,0.9395496666666666,3
genemind_surfseq5000,gatk4_hc,INDEL,8,12.0,0.7868693333333333,0.005814390882399776,0.8112443333333333,0.7639206666666666,3
genemind_surfseq5000,gatk4_hc,INDEL,full,687.37,0.922185,,0.902459,0.942792,1
genemind_surfseq5000,gatk4_hc,SNV,10,14.976666666666667,0.9401436666666667,0.0003702625194822182,0.9706373333333334,0.911508,3
genemind_surfseq5000,gatk4_hc,SNV,100,140.74666666666667,0.9813876666666667,0.0002191285771717877,0.9786739999999999,0.9841153333333333,3
genemind_surfseq5000,gatk4_hc,SNV,12,17.95,0.9526753333333332,0.0007506625961997132,0.9741083333333332,0.932165,3
genemind_surfseq5000,gatk4_hc,SNV,15,22.386666666666667,0.9631386666666667,0.0005831031926969131,0.9768403333333332,0.9498163333333333,3
genemind_surfseq5000,gatk4_hc,SNV,150,204.24666666666667,0.9817589999999999,0.00014007497992151656,0.9781806666666667,0.985363,3
genemind_surfseq5000,gatk4_hc,SNV,20,29.74,0.9715726666666668,0.0006975574050451744,0.978561,0.9646836666666667,3
genemind_surfseq5000,gatk4_hc,SNV,200,263.70666666666665,0.9818573333333332,0.00014771707190882968,0.9780003333333335,0.9857453333333334,3
genemind_surfseq5000,gatk4_hc,SNV,25,37.04666666666666,0.9752183333333333,0.00010752829085097378,0.9791876666666667,0.9712813333333333,3
genemind_surfseq5000,gatk4_hc,SNV,30,44.300000000000004,0.9772246666666667,0.0001342472842680496,0.9792623333333333,0.9751963333333333,3
genemind_surfseq5000,gatk4_hc,SNV,300,371.78666666666663,0.9818486666666667,0.00017848342593457383,0.977487,0.9862500000000001,3
genemind_surfseq5000,gatk4_hc,SNV,40,58.65333333333333,0.9793363333333334,0.00034322344519765015,0.979749,0.978924,3
genemind_surfseq5000,gatk4_hc,SNV,400,467.31,0.9819733333333334,0.00022814980458750193,0.9774786666666667,0.9865093333333333,3
genemind_surfseq5000,gatk4_hc,SNV,5,7.510000000000001,0.8478263333333333,0.0014130425801557878,0.9436019999999999,0.7697023333333334,3
genemind_surfseq5000,gatk4_hc,SNV,50,72.81666666666666,0.9801923333333334,0.00014743247041728644,0.9796806666666668,0.9807053333333333,3
genemind_surfseq5000,gatk4_hc,SNV,60,86.77,0.9806483333333333,0.0001899640316832121,0.9791186666666668,0.982183,3
genemind_surfseq5000,gatk4_hc,SNV,75,107.36000000000001,0.9812803333333333,7.934943814127961e-05,0.9792886666666667,0.9832793333333333,3
genemind_surfseq5000,gatk4_hc,SNV,8,12.0,0.9193923333333333,0.00038018460428234773,0.9652366666666666,0.8777056666666666,3
genemind_surfseq5000,gatk4_hc,SNV,full,687.37,0.982216,,0.977627,0.986848,1
illumina_novaseq6000,deepvariant,INDEL,10,15.663333333333334,0.8181006666666667,0.0031443564259373592,0.9354343333333333,0.7269260000000001,3
illumina_novaseq6000,deepvariant,INDEL,100,144.78,0.9639816666666666,0.0007622108194806366,0.979762,0.9487033333333333,3
illumina_novaseq6000,deepvariant,INDEL,12,18.763333333333335,0.8427436666666667,0.0028976656696957587,0.942028,0.762395,3
illumina_novaseq6000,deepvariant,INDEL,15,23.386666666666667,0.8675269999999999,0.006466140347997362,0.9493126666666667,0.7987223333333334,3
illumina_novaseq6000,deepvariant,INDEL,150,208.41,0.9711346666666666,0.00018126316044173935,0.982681,0.9598586666666667,3
illumina_novaseq6000,deepvariant,INDEL,20,31.040000000000003,0.8939349999999999,0.0024467055401089744,0.9549,0.8402936666666667,3
illumina_novaseq6000,deepvariant,INDEL,200,267.09,0.973402,0.0022355605561021987,0.9831326666666667,0.9638633333333333,3
illumina_novaseq6000,deepvariant,INDEL,25,38.626666666666665,0.9106333333333333,0.0024067185820808054,0.9610110000000001,0.8652746666666666,3
