sample,reference,caller_pair,target_depth_x,seed,variant_type,CPU_F1,GPU_F1,abs_delta_F1
ZY_GeneMind_NA12878,grch38,gatk4_hc,15,43,SNV,0.963728,0.963416,0.00031199999999997896
ZY_GeneMind_NA12878,grch38,gatk4_hc,15,44,INDEL,0.859218,0.859377,0.00015899999999990921
ZY_GeneMind_NA12878,grch38,gatk4_hc,15,44,SNV,0.963126,0.962845,0.00028100000000008674
ZY_GeneMind_NA12878,grch38,gatk4_hc,30,42,INDEL,0.896597,0.895972,0.0006249999999999867
ZY_GeneMind_NA12878,grch38,gatk4_hc,30,42,SNV,0.97707,0.976908,0.00016199999999999548
ZY_GeneMind_NA12878,grch38,gatk4_hc,30,43,INDEL,0.893838,0.894646,0.0008080000000000309
ZY_GeneMind_NA12878,grch38,gatk4_hc,30,43,SNV,0.977293,0.977189,0.00010399999999999299
ZY_GeneMind_NA12878,grch38,gatk4_hc,30,44,INDEL,0.896099,0.895473,0.0006260000000000154
ZY_GeneMind_NA12878,grch38,gatk4_hc,30,44,SNV,0.977311,0.977056,0.0002550000000000052
ZY_GeneMind_NA12878,grch38,gatk4_hc,50,42,INDEL,0.912475,0.913387,0.0009119999999999129
ZY_GeneMind_NA12878,grch38,gatk4_hc,50,42,SNV,0.980088,0.979866,0.00022199999999994446
ZY_GeneMind_NA12878,grch38,gatk4_hc,50,43,INDEL,0.907113,0.907493,0.00038000000000004697
ZY_GeneMind_NA12878,grch38,gatk4_hc,50,43,SNV,0.980128,0.980015,0.00011300000000002974
ZY_GeneMind_NA12878,grch38,gatk4_hc,50,44,INDEL,0.909348,0.908688,0.0006599999999999939
ZY_GeneMind_NA12878,grch38,gatk4_hc,50,44,SNV,0.980361,0.980206,0.00015500000000001624
ZY_GeneMind_NA12878,grch38,deepvariant,15,42,INDEL,0.93324,0.933924,0.0006840000000000179
ZY_GeneMind_NA12878,grch38,deepvariant,15,42,SNV,0.972948,0.972807,0.00014100000000005775
ZY_GeneMind_NA12878,grch38,gatk4_hc,full,0,INDEL,0.922185,0.922176,9.000000000036756e-06
ZY_GeneMind_NA12878,grch38,gatk4_hc,full,0,SNV,0.982216,0.982091,0.00012499999999993072
ZY_GeneMind_NA12878,grch38,deepvariant,15,44,INDEL,0.93316,0.932905,0.0002550000000000052
ZY_GeneMind_NA12878,grch38,deepvariant,15,44,SNV,0.973147,0.973073,7.40000000000185e-05
ZY_GeneMind_NA12878,grch38,deepvariant,15,43,INDEL,0.934428,0.93354,0.0008879999999999999
ZY_GeneMind_NA12878,grch38,deepvariant,15,43,SNV,0.973895,0.97394,4.500000000007276e-05
ZY_GeneMind_NA12878,grch38,deepvariant,30,42,INDEL,0.96721,0.96678,0.00043000000000004146
ZY_GeneMind_NA12878,grch38,deepvariant,30,42,SNV,0.987482,0.987482,0.0
ZY_GeneMind_NA12878,grch38,deepvariant,30,43,INDEL,0.965708,0.966149,0.0004410000000000247
ZY_GeneMind_NA12878,grch38,deepvariant,30,43,SNV,0.987926,0.988036,0.0001100000000000545
ZY_GeneMind_NA12878,grch38,deepvariant,30,44,INDEL,0.966167,0.966324,0.00015699999999996272
ZY_GeneMind_NA12878,grch38,deepvariant,30,44,SNV,0.987527,0.987626,9.899999999996023e-05
ZY_GeneMind_NA12878,grch38,deepvariant,50,42,INDEL,0.977199,0.977204,4.999999999921734e-06
ZY_GeneMind_NA12878,grch38,deepvariant,50,42,SNV,0.990381,0.990359,2.199999999996649e-05
ZY_GeneMind_NA12878,grch38,deepvariant,50,43,INDEL,0.978227,0.978071,0.00015599999999993397
ZY_GeneMind_NA12878,grch38,deepvariant,50,43,SNV,0.990724,0.990637,8.700000000005925e-05
ZY_GeneMind_NA12878,grch38,deepvariant,50,44,INDEL,0.977771,0.977337,0.00043399999999993444
ZY_GeneMind_NA12878,grch38,deepvariant,50,44,SNV,0.990489,0.990468,2.0999999999937735e-05
ZY_GeneMind_NA12878,grch38,deepvariant,full,0,INDEL,0.983772,0.983908,0.000136000000000025
ZY_GeneMind_NA12878,grch38,deepvariant,full,0,SNV,0.993054,0.993032,2.199999999996649e-05
